Системний час;Час доповіді;Підрозділ;Позивний репортера;Категорія зброї;Назва зброї;Ціль;Кількість;Результат;Початкові координати;Кінцеві координати;Початковий квадрат;Кінцевий квадрат;Удар коригувався БпЛА?;Використано (шт.);Залишок (шт.);Не розрив (шт.);Витрата зарядів (шт.);Режим зарядів;200;~200;300;~300;Нотатки;UUID
04/08/2026, 12:54:20;04/08/2026, 12:23:00;2 МБ;Край;Міномет;Міномет, 82 мм;Бліндаж/укриття;1;Заборона дії;37U DQ 17525 41225;;;;ні;10;60;0;;;;;;;*;8c1affd2-cc87-4f53-bc09-5f0ec715cf28
04/08/2026, 12:15:19;04/08/2026, 12:15:00;2 МБ;Макларен;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 04366 37491;;;;ні;"215шт-5.56*45; 152шт-5,45*39";"2000шт-5.56*45; 1950шт-5,45*39";0;;;;;;;*;6db94e58-b865-4bb0-a203-ea51f61634d0
04/08/2026, 12:10:45;04/08/2026, 12:10:00;2 МБ;Макларен;Стрілецька зброя;Гранатомет;Бліндаж/укриття;1;Вогневий вплив;37U DQ 03813 37910;;;;ні;1шт-AT4 CS-RS;3шт-AT4 CS-RS;0;;;;;;;*;088752b3-3c3e-4420-83d7-a3621e29c94b
04/08/2026, 12:05:11;04/08/2026, 12:05:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Нездетонована ворожий ФПВ;1;Знищено;37U DQ 05938 38180;;;;ні;"120 шт-5.45х39 ручна граната Ф1-3шт;РГН-1шт";"1320 шт-5.45х39 ручна граната Ф1-19шт;РГН-14шт";0;;;;;;;*;459a2662-b010-43a5-bc38-6c01ebb91a17
04/08/2026, 11:43:39;04/08/2026, 11:30:00;2 МБ;Край;Міномет;Міномет, 82 мм;Бліндаж/укриття;1;Заборона дії;37U DQ 09852 37571;;;;ні;10;70;0;;;;;;;*;0e8e9e3e-3b63-4452-ad5b-476d0df418c3
04/08/2026, 11:30:42;04/08/2026, 11:30:00;2 МБ;Макларен;Стрілецька зброя;Стрілецька зброя;Ворожий мавік;1;Вогневий вплив;37U DQ 04366 37491;;;;ні;"155шт-5,45*39; 16шт-12/70";"1950шт-5,45*39; 35шт-12/70";0;;;;;;;*;1af17449-1fb0-49e8-a480-564d3d4199f3
04/08/2026, 11:28:44;04/08/2026, 11:28:00;2 МБ;Макларен;Стрілецька зброя;Стрілецька зброя;Ворожий дрон-ждун;1;Знищено;37U DQ 04292 37274;;;;ні;"166шт-5,45*39; 4шт-Ф1; 4шт-РГН";"1950шт-5,45*39; 19шт-Ф1; 20шт-РГН";0;;;;;;;*;40aefe5a-2a72-4c4b-ab32-7e72b356edf1
04/08/2026, 11:26:48;04/08/2026, 11:26:00;2 МБ;Макларен;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 03121 38441;;;;ні;"205шт-7,62*54; 150шт-5,45*39";"2000шт-7,62*54; 1950шт-5,45*39";0;;;;;;;*;8b591cfa-e417-4a7e-bd2a-d7d48401615b
04/08/2026, 11:26:47;04/08/2026, 11:26:00;2 МБ;Тюльпан;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 05510 38077;;;;ні;"140шт-7.62х54;150 шт -5.45х39;ВОГ-25 -2 шт";"1840шт-7.62х54;1430 шт -5.45х39;ВОГ-25 -12 шт";0;;;;;;;*;3bcb2643-33bb-41eb-b8ae-89af7dab8498
04/08/2026, 11:31:59;04/08/2026, 11:24:00;2 МБ;Край;Міномет;Міномет, 120 мм;Бліндаж/укриття;1;Заборона дії;37U DQ 11434 38458;;;;ні;10;23;0;;;;;;;*;dedcf9f6-f4e5-4c28-8c42-e4ee090872db
04/08/2026, 11:24:16;04/08/2026, 11:24:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Мінування;1;Знищено;37U DQ 05315 38313;;;;ні;"125 шт-5.45х39 ручна граната Ф1-2 шт;РГН - 2 шт";"1510 шт-5.45х39 ручна граната Ф1-21 шт;РГН - 23 шт";0;;;;;;;*;5ff83dbc-c07f-4c7c-820b-2e567ce90f9b
04/08/2026, 10:49:03;04/08/2026, 10:49:00;2 МБ;Край;АГС;АГС;Ворожий FPV-дрон ждун;1;Знищено;37U DQ 07067 37832;;;;ні;20;530;0;;;;;;;*;06bc14a6-4048-411c-91c5-45f1c7101883
04/08/2026, 10:39:13;04/08/2026, 10:39:00;2 МБ;Макларен;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 04366 37491;;;;ні;"210шт-5,56*45; 155шт-5,45*39";"2000шт-5,56*45; 1950шт-5,45*39";0;;;;;;;*;13ff0ccd-8c15-4c7b-9148-a3f56064295d
04/08/2026, 10:41:32;04/08/2026, 10:21:00;2 МБ;Край;Mk-19;Mk-19;Мінування;2;Знищено;37U DQ 07282 38599;37U DQ 07130 38444;;;ні;25;405;0;;;;;;;;5e41a2b8-a07e-4496-b1de-47eea7221ecf
04/08/2026, 10:00:26;04/08/2026, 10:00:00;2 МБ;Макларен;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 03813 37910;;;;ні;"215шт-7,62*51; 154шт-5.45*39";"2000шт-7,62*51; 1950шт-5.45*39";0;;;;;;;*;f24da7fb-1eef-4570-8eef-3f9cf9746b8d
04/08/2026, 09:34:05;04/08/2026, 09:34:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Сигнатура;2;Вогневий вплив;37U DQ 00787 39563;;;;ні;"180 шт -5.56х45; 160 шт -5.45х39";"2200 шт -5.56х45; 1520 шт -5.45х39";0;;;;;;;*;acf708cd-3507-42be-9425-c9e1b724d0b1
04/08/2026, 09:26:26;04/08/2026, 09:26:00;2 МБ;Макларен;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 03121 38441;;;;ні;"205шт-7.62*54; 154шт-5,45*39";"2000шт-7.62*54; 1950шт-5,45*39";0;;;;;;;*;dfb08dbf-f563-44ab-8df2-432a82165ca1
04/08/2026, 08:47:33;04/08/2026, 08:47:00;2 МБ;Макларен;Стрілецька зброя;Стрілецька зброя;FPV;1;Вогневий вплив;37U DQ 04366 37491;;;;ні;"164шт-5,45*39; 15шт-12/70";"1950шт-5,45*39; 35шт-12/70";0;;;;;;;*;ba371d05-e325-4025-96f4-da20420dae90
04/08/2026, 08:44:41;04/08/2026, 08:44:00;2 МБ;Макларен;Стрілецька зброя;Стрілецька зброя;Мінування;2;Знищено;37U DQ 04292 37274;;;;ні;"175шт-5.45*39; 4шт-Ф1; 4шт-РГН";"1950шт-5.45*39; 19шт-Ф1; 20шт-РГН";0;;;;;;;*;fcd49e8a-7526-4e8b-ad65-95af2f039a73
04/08/2026, 08:42:43;04/08/2026, 08:42:00;2 МБ;Макларен;Великокаліберний кулемет;Browning M2;Сигнатура;2;Вогневий вплив;37U DQ 03813 37910;;;;ні;"205шт-12,7*99; 152шт-5,45*39";"2000шт-12,7*99; 1950шт-5,45*39";0;;;;;;;*;70a5c399-9868-42f4-a0b5-349651de3243
04/08/2026, 08:45:28;04/08/2026, 08:32:00;2 МБ;Убер;Міномет;Міномет, 120 мм;Бліндаж/укриття;1;Заборона дії;37U DQ 13656 40357;;;;так;7;70;0;;;;;;;;965dfbe5-c308-4cc7-9c5c-0a94ffacca56
04/08/2026, 08:27:43;04/08/2026, 08:27:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;ворожий мавік;1;Вогневий вплив;37U DQ 04918 37898;;;;ні;125 шт-5.45х39;1790 шт-5.45х39;0;;;;;;;*;1105600b-2aa2-4a41-81e1-6c5a4be510bc
04/08/2026, 08:21:52;04/08/2026, 08:21:00;2 МБ;Тюльпан;Стрілецька зброя;Кулемет;на подавлення;3;Вогневий вплив;37U DQ 04680 37988;;;;ні;"200 шт-7.62х51; 150 шт -5.45х39;140 шт -7.62х54";"2300 шт-7.62х51; 2080 шт -5.45х39;2100 шт -7.62х54";0;;;;;;;*;0883b93c-70ea-44dd-b6ae-0ce35edcdfd9
04/08/2026, 07:58:28;04/08/2026, 07:58:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Ворожий FPV-дрон;1;Вогневий вплив;37U DQ 05694 37750;;;;ні;"130 шт-5.45х39  ; 7 шт -12х70";"1620 шт-5.45х39  ; 34 шт -12х70";0;;;;;;;*;4307080c-f92c-4b19-bbe3-2d87f54b5165
04/08/2026, 07:54:39;04/08/2026, 07:54:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Мінування;2;Знищено;37U DQ 05938 38180;;;;ні;"150 шт-5.45х39 ручна граната Ф1-2 шт;РГН-2 шт";"150 шт-5.45х39 ручна граната Ф1-2 шт;РГН-2 шт";0;;;;;;;*;bcc2ce2d-daae-4c47-9cad-6103e3a980f9
03/08/2026, 22:21:26;03/08/2026, 22:21:00;2 МБ;Владос;Стрілецька зброя;Стрілецька зброя;теплова сигнатура;2;Вогневий вплив;37U DQ 05212 36303;;;;ні;5.45 - 300;5.45 - 2100;0;;;;;;;*;1c956b4a-9bb0-4265-ac64-12f2e9829d95
03/08/2026, 22:16:06;03/08/2026, 22:16:00;2 МБ;Владос;Стрілецька зброя;Стрілецька зброя;теплова сигнатура;2;Вогневий вплив;37U DQ 04551 35179;;;;ні;5.45 - 300;5.45 - 1900;0;;;;;;;*;5b594b6c-ae8d-4291-a971-b0fc7019b234
03/08/2026, 22:13:07;03/08/2026, 22:13:00;2 МБ;Тюльпан;Стрілецька зброя;Кулемет;Теплова сигнатура;2;Вогневий вплив;37U DQ 04680 37988;;;;ні;"180 шт-7.62х51;175 шт-5.45х39";"1890 шт-7.62х51;1260 шт-5.45х39";0;;;;;;;*;64a86970-d97c-49cb-9649-cb8098df130b
03/08/2026, 21:11:42;03/08/2026, 20:55:00;2 МБ;Убер;Міномет;Міномет, 120 мм;Бліндаж/укриття;1;Заборона дії;37U DQ 13346 40176;;;;так;3;77;0;;;;;;;;c668f6d2-694b-46c0-9191-6c4578bffe2c
03/08/2026, 20:12:32;03/08/2026, 20:12:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Сигнатура;1;Вогневий вплив;37U DQ 05859 38011;;;;ні;100 шт-5.45х39;1200 шт-5.45х39;0;;;;;;;*;406ead57-9479-4844-a264-aabbc75ce899
03/08/2026, 20:10:45;03/08/2026, 20:10:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Сигнатура;1;Вогневий вплив;37U DQ 05938 38180;;;;ні;140 шт-5.45х39;1310 шт-5.45х39;0;;;;;;;*;daeb814e-5563-4a32-b310-ed0c49e753ed
